sequence,time,latitude,logitude,altitude,utm_easting,utm_northing,zone_num,zone_letter
22,1644175348,42.339168548583984,-71.0848388671875,4.199999809265137,328254.96875,4689539.5,19,T
23,1644175349,42.339168548583984,-71.0848388671875,4.199999809265137,328254.96875,4689539.5,19,T
24,1644175350,42.339168548583984,-71.0848388671875,4.199999809265137,328255.125,4689539.5,19,T
25,1644175351,42.339168548583984,-71.0848388671875,4.199999809265137,328255.125,4689539.5,19,T
26,1644175352,42.339168548583984,-71.0848388671875,4.199999809265137,328255.125,4689539.5,19,T
27,1644175353,42.339168548583984,-71.0848388671875,4.199999809265137,328255.125,4689539.5,19,T
28,1644175354,42.339168548583984,-71.0848388671875,4.199999809265137,328255.125,4689539.5,19,T
29,1644175355,42.339168548583984,-71.0848388671875,4.099999904632568,328255.125,4689539.5,19,T
30,1644175356,42.339168548583984,-71.0848388671875,4.099999904632568,328255.125,4689539.5,19,T
31,1644175357,42.339168548583984,-71.0848388671875,4.099999904632568,328255.125,4689539.5,19,T
32,1644175358,42.339168548583984,-71.0848388671875,4.099999904632568,328255.125,4689539.5,19,T
33,1644175359,42.339168548583984,-71.08483123779297,2.5999999046325684,328255.65625,4689540.0,19,T
34,1644175360,42.339168548583984,-71.08482360839844,1.100000023841858,328256.09375,4689540.0,19,T
35,1644175361,42.339168548583984,-71.08482360839844,1.100000023841858,328256.09375,4689540.0,19,T
36,1644175362,42.339168548583984,-71.08482360839844,1.100000023841858,328256.09375,4689540.0,19,T
37,1644175363,42.33917236328125,-71.08482360839844,-0.30000001192092896,328256.5,4689540.0,19,T
38,1644175364,42.339176177978516,-71.08482360839844,-1.399999976158142,328256.5,4689540.5,19,T
39,1644175365,42.33917999267578,-71.08482360839844,-2.299999952316284,328256.53125,4689541.0,19,T
40,1644175366,42.33918380737305,-71.0848159790039,-3.200000047683716,328256.65625,4689541.5,19,T
41,1644175367,42.33918762207031,-71.08482360839844,-3.9000000953674316,328256.53125,4689542.0,19,T
42,1644175368,42.33919143676758,-71.08482360839844,-4.599999904632568,328256.5625,4689542.0,19,T
43,1644175369,42.33919143676758,-71.08482360839844,-5.099999904632568,328256.5625,4689542.5,19,T
44,1644175370,42.339195251464844,-71.08482360839844,-5.699999809265137,328256.4375,4689543.0,19,T
45,1644175371,42.339202880859375,-71.08482360839844,-6.099999904632568,328256.03125,4689543.5,19,T
46,1644175372,42.339202880859375,-71.08483123779297,-6.400000095367432,328255.75,4689543.5,19,T
47,1644175373,42.33920669555664,-71.08483123779297,-6.599999904632568,328255.625,4689544.0,19,T
48,1644175374,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.5,19,T
49,1644175375,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
50,1644175376,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
51,1644175377,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
52,1644175378,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
53,1644175379,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
54,1644175380,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
55,1644175381,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
56,1644175382,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
57,1644175383,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
58,1644175384,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
59,1644175385,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
60,1644175386,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
61,1644175387,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
62,1644175388,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
63,1644175389,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
64,1644175390,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
65,1644175391,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
66,1644175392,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
67,1644175393,42.33920669555664,-71.08483123779297,-6.800000190734863,328255.625,4689544.0,19,T
