time,header,lat,lon,alt,u_e,u_n,zone,letter
1644350377338533430,"seq: 1
stamp: 
  secs: 1644350377
  nsecs: 337517499
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350378296310590,"seq: 2
stamp: 
  secs: 1644350378
  nsecs: 295536994
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350379298053397,"seq: 3
stamp: 
  secs: 1644350379
  nsecs: 293533325
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350380294015926,"seq: 4
stamp: 
  secs: 1644350380
  nsecs: 292798995
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350381296024098,"seq: 5
stamp: 
  secs: 1644350381
  nsecs: 294421434
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350382295396690,"seq: 6
stamp: 
  secs: 1644350382
  nsecs: 293923616
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350383298138707,"seq: 7
stamp: 
  secs: 1644350383
  nsecs: 295352220
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350384297779955,"seq: 8
stamp: 
  secs: 1644350384
  nsecs: 295235872
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350385296573844,"seq: 9
stamp: 
  secs: 1644350385
  nsecs: 294785261
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350386297928635,"seq: 10
stamp: 
  secs: 1644350386
  nsecs: 296488761
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350387295241920,"seq: 11
stamp: 
  secs: 1644350387
  nsecs: 292573213
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350388293624052,"seq: 12
stamp: 
  secs: 1644350388
  nsecs: 292140483
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350389295591645,"seq: 13
stamp: 
  secs: 1644350389
  nsecs: 293978691
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350390293999258,"seq: 14
stamp: 
  secs: 1644350390
  nsecs: 293202400
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350391293858988,"seq: 15
stamp: 
  secs: 1644350391
  nsecs: 292750120
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350392290556879,"seq: 16
stamp: 
  secs: 1644350392
  nsecs: 289462327
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350393291282328,"seq: 17
stamp: 
  secs: 1644350393
  nsecs: 289716958
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350394293446885,"seq: 18
stamp: 
  secs: 1644350394
  nsecs: 292831182
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350395295225488,"seq: 19
stamp: 
  secs: 1644350395
  nsecs: 293159723
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350396293598430,"seq: 20
stamp: 
  secs: 1644350396
  nsecs: 291499614
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350397294912037,"seq: 21
stamp: 
  secs: 1644350397
  nsecs: 291785240
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350398294712099,"seq: 22
stamp: 
  secs: 1644350398
  nsecs: 293533802
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350399294962374,"seq: 23
stamp: 
  secs: 1644350399
  nsecs: 292382240
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
1644350400294738413,"seq: 24
stamp: 
  secs: 1644350400
  nsecs: 291839599
frame_id: ''",42.3444433,-71.083536,13.3,328376.6201841581,4690122.938282628,19,T
