time,header,lat,lon,alt,u_e,u_n,zone,letter
1644349709298601547,"seq: 1
stamp: 
  secs: 1644349709
  nsecs: 297238588
frame_id: ''",42.343285,-71.08462,13.3,328284.1725633135,4689996.506567355,19,T
1644349710298238747,"seq: 2
stamp: 
  secs: 1644349710
  nsecs: 297000885
frame_id: ''",42.343285,-71.08462,13.4,328284.1725633135,4689996.506567355,19,T
1644349711299572307,"seq: 3
stamp: 
  secs: 1644349711
  nsecs: 297883749
frame_id: ''",42.343285,-71.084618,13.5,328284.3373156126,4689996.502528002,19,T
1644349712298327304,"seq: 4
stamp: 
  secs: 1644349712
  nsecs: 296820163
frame_id: ''",42.3432833,-71.084618,13.6,328284.3326873488,4689996.313755834,19,T
1644349713336332693,"seq: 5
stamp: 
  secs: 1644349713
  nsecs: 334853172
frame_id: ''",42.3432833,-71.084616,13.7,328284.4974396524,4689996.309716484,19,T
1644349714336502145,"seq: 6
stamp: 
  secs: 1644349714
  nsecs: 334832429
frame_id: ''",42.3432833,-71.084616,13.8,328284.4974396524,4689996.309716484,19,T
1644349715297926983,"seq: 7
stamp: 
  secs: 1644349715
  nsecs: 295425891
frame_id: ''",42.3432833,-71.084616,13.8,328284.4974396524,4689996.309716484,19,T
1644349716334814429,"seq: 8
stamp: 
  secs: 1644349716
  nsecs: 333293199
frame_id: ''",42.3432816,-71.084615,13.9,328284.5751875472,4689996.118924641,19,T
1644349717337129000,"seq: 9
stamp: 
  secs: 1644349717
  nsecs: 334336757
frame_id: ''",42.3432816,-71.084615,14.0,328284.5751875472,4689996.118924641,19,T
1644349718294504423,"seq: 10
stamp: 
  secs: 1644349718
  nsecs: 293128967
frame_id: ''",42.3432816,-71.084625,14.6,328283.7514260093,4689996.139121416,19,T
1644349719335172749,"seq: 11
stamp: 
  secs: 1644349719
  nsecs: 334046125
frame_id: ''",42.3432816,-71.084625,14.6,328283.7514260093,4689996.139121416,19,T
1644349720293434374,"seq: 12
stamp: 
  secs: 1644349720
  nsecs: 292371034
frame_id: ''",42.3432816,-71.084625,14.7,328283.7514260093,4689996.139121416,19,T
1644349721293492618,"seq: 13
stamp: 
  secs: 1644349721
  nsecs: 292534112
frame_id: ''",42.34328,-71.084625,14.7,328283.747069982,4689995.961453493,19,T
1644349722294186148,"seq: 14
stamp: 
  secs: 1644349722
  nsecs: 292435407
frame_id: ''",42.3432816,-71.084633,15.3,328283.0924167811,4689996.155278907,19,T
1644349723372806481,"seq: 15
stamp: 
  secs: 1644349723
  nsecs: 372118234
frame_id: ''",42.3432816,-71.084633,15.4,328283.0924167811,4689996.155278907,19,T
1644349724291233973,"seq: 16
stamp: 
  secs: 1644349724
  nsecs: 290374755
frame_id: ''",42.3432866,-71.08464,15.2,328282.5293963889,4689996.724629025,19,T
1644349725292119317,"seq: 17
stamp: 
  secs: 1644349725
  nsecs: 290871381
frame_id: ''",42.3432916,-71.084643,15.2,328282.2958806514,4689997.285900387,19,T
