sequence,time,latitude,logitude,altitude,utm_easting,utm_northing,zone_num,zone_letter
907,1644176234,42.338802337646484,-71.08438873291016,8.600000381469727,328291.34375,4689498.5,19,T
908,1644176235,42.338802337646484,-71.08438873291016,8.800000190734863,328291.1875,4689498.5,19,T
909,1644176236,42.33880615234375,-71.08438873291016,8.899999618530273,328290.9375,4689499.0,19,T
910,1644176237,42.33880615234375,-71.08439636230469,8.899999618530273,328290.65625,4689499.0,19,T
911,1644176238,42.33880615234375,-71.08439636230469,8.899999618530273,328290.65625,4689499.0,19,T
912,1644176239,42.33880615234375,-71.08439636230469,8.899999618530273,328290.65625,4689499.0,19,T
913,1644176240,42.33880615234375,-71.08439636230469,8.899999618530273,328290.65625,4689499.0,19,T
914,1644176241,42.338809967041016,-71.08439636230469,8.899999618530273,328290.25,4689499.0,19,T
915,1644176242,42.33881759643555,-71.08441162109375,9.0,328289.3125,4689500.0,19,T
916,1644176243,42.33882522583008,-71.08441925048828,9.100000381469727,328288.375,4689501.0,19,T
917,1644176244,42.33883285522461,-71.08443450927734,9.100000381469727,328287.4375,4689502.0,19,T
918,1644176245,42.33884048461914,-71.08444213867188,9.100000381469727,328286.5,4689502.5,19,T
919,1644176246,42.33884811401367,-71.08445739746094,9.100000381469727,328285.40625,4689503.5,19,T
920,1644176247,42.33885192871094,-71.08447265625,9.100000381469727,328284.3125,4689504.0,19,T
921,1644176248,42.33885955810547,-71.08448028564453,9.100000381469727,328283.375,4689505.0,19,T
922,1644176249,42.3388671875,-71.0844955444336,9.100000381469727,328282.4375,4689505.5,19,T
923,1644176250,42.33887481689453,-71.08450317382812,9.199999809265137,328281.5,4689506.5,19,T
924,1644176251,42.33888244628906,-71.08451843261719,9.300000190734863,328280.4375,4689507.5,19,T
925,1644176252,42.338890075683594,-71.08453369140625,9.399999618530273,328279.625,4689508.0,19,T
926,1644176253,42.338897705078125,-71.08454132080078,9.5,328278.6875,4689509.0,19,T
927,1644176254,42.33890151977539,-71.08455657958984,9.600000381469727,328277.75,4689510.0,19,T
928,1644176255,42.33891296386719,-71.08456420898438,9.699999809265137,328276.8125,4689511.0,19,T
929,1644176256,42.33891677856445,-71.08457946777344,9.699999809265137,328275.84375,4689511.5,19,T
930,1644176257,42.338924407958984,-71.08458709716797,9.800000190734863,328274.78125,4689512.5,19,T
931,1644176258,42.338932037353516,-71.08460235595703,9.899999618530273,328273.84375,4689513.0,19,T
932,1644176259,42.33893966674805,-71.08460998535156,9.899999618530273,328272.875,4689514.0,19,T
933,1644176260,42.33894729614258,-71.08462524414062,10.0,328272.09375,4689515.0,19,T
934,1644176261,42.33895492553711,-71.08463287353516,10.100000381469727,328271.28125,4689515.5,19,T
935,1644176262,42.33896255493164,-71.08464813232422,10.100000381469727,328270.34375,4689516.5,19,T
936,1644176263,42.33897018432617,-71.08465576171875,10.100000381469727,328269.40625,4689517.0,19,T
937,1644176264,42.3389778137207,-71.08466339111328,10.199999809265137,328268.59375,4689518.0,19,T
938,1644176265,42.33898162841797,-71.08467864990234,10.199999809265137,328267.65625,4689519.0,19,T
939,1644176266,42.3389892578125,-71.08468627929688,10.199999809265137,328266.71875,4689519.5,19,T
940,1644176267,42.33899688720703,-71.08470153808594,10.199999809265137,328265.90625,4689520.5,19,T
941,1644176268,42.33900451660156,-71.08470916748047,10.300000190734863,328265.09375,4689521.5,19,T
942,1644176269,42.33900833129883,-71.084716796875,10.199999809265137,328264.28125,4689522.0,19,T
943,1644176270,42.339012145996094,-71.08473205566406,10.100000381469727,328263.34375,4689522.5,19,T
944,1644176271,42.339019775390625,-71.0847396850586,10.0,328262.53125,4689523.0,19,T
945,1644176272,42.33902359008789,-71.08475494384766,10.0,328261.71875,4689523.5,19,T
946,1644176273,42.33903121948242,-71.08476257324219,10.100000381469727,328260.9375,4689524.5,19,T
